run_id,treatment,func,rep,time_s,energy_j,cpu_pct,mem_mb
run_0_repetition_0,baseline,bfs,1,25.78234196,81.25,24.44220532,4
run_1_repetition_0,baseline,bfs,2,25.67927599,81.41,25.07054264,4.140625
run_2_repetition_0,baseline,bfs,3,25.37691998,78.76,25.25294118,4.0625
run_3_repetition_0,baseline,bfs,4,25.72573614,81.43,25.12906977,4.015625
run_4_repetition_0,baseline,bfs,5,25.27810693,78.8,25.15314961,4.015625
run_5_repetition_0,baseline,bfs,6,25.28783798,78.81,24.94862745,4.109375
run_6_repetition_0,baseline,bfs,7,25.40642691,81.42,24.76409266,4.09375
run_7_repetition_0,baseline,bfs,8,25.243191,78.79,25.22165354,3.9375
run_8_repetition_0,baseline,bfs,9,25.99598908,81.41,25.08045977,4.0625
run_9_repetition_0,baseline,bfs,10,25.60203886,78.78,25.14552529,4
run_10_repetition_0,baseline,bfs,11,25.5210588,78.8,25.06225681,4.046875
run_11_repetition_0,baseline,bfs,12,25.24032164,78.78,25.23582677,4.015625
run_12_repetition_0,baseline,bfs,13,25.53598499,78.76,25.15820313,4.015625
run_13_repetition_0,baseline,bfs,14,25.2109282,78.79,25.20632411,4.078125
run_14_repetition_0,baseline,bfs,15,25.55254912,78.77,25.1385214,4.015625
run_15_repetition_0,baseline,bfs,16,25.633355860000002,78.79,25.14785992,4.015625
run_16_repetition_0,baseline,bfs,17,25.47134113,81.43,24.9879845,4.015625
run_17_repetition_0,baseline,bfs,18,25.31861401,78.8,25.05748031,4.078125
run_18_repetition_0,baseline,bfs,19,25.217134,78.79,25.06166008,3.953125
run_19_repetition_0,baseline,bfs,20,25.78609896,81.45,25.03861004,4.0625
run_20_repetition_0,baseline,bfs,21,25.54264498,78.78,25.2625,4.046875
run_21_repetition_0,baseline,bfs,22,25.28388381,78.77,25.09015748,3.953125
run_22_repetition_0,baseline,bfs,23,25.52597594,78.82,24.95953307,4.015625
run_23_repetition_0,baseline,bfs,24,25.35616899,81.44,25.03242188,4.015625
run_24_repetition_0,baseline,bfs,25,25.24222112,78.78,25.04251969,4.0625
run_25_repetition_0,baseline,bfs,26,25.4283011,78.78,25.13125,4.109375
run_26_repetition_0,baseline,bfs,27,25.060426,78.8,25.19563492,4.046875
run_27_repetition_0,baseline,bfs,28,25.28838801,78.79,25.17215686,3.984375
run_28_repetition_0,baseline,bfs,29,25.66672802,81.41,25.14341085,4.03125
run_29_repetition_0,baseline,bfs,30,25.84602499,91.14,23.47948718,4.03125
run_30_repetition_0,optimized,bfs,1,9.578636885,39.24,24.11212121,4.046875
run_31_repetition_0,optimized,bfs,2,9.359945059,36.57,24.50721649,4
run_32_repetition_0,optimized,bfs,3,9.368897915,36.57,24.75154639,4.0625
run_33_repetition_0,optimized,bfs,4,9.218317986,36.57,24.79583333,4.0625
run_34_repetition_0,optimized,bfs,5,9.249130964,36.55,24.95,4.078125
run_35_repetition_0,optimized,bfs,6,9.36970377,36.56,24.54226804,4.078125
run_36_repetition_0,optimized,bfs,7,9.317957163,39.12,23.4990099,4.078125
run_37_repetition_0,optimized,bfs,8,9.347536802,41.59,24.99479167,4.03125
run_38_repetition_0,optimized,bfs,9,9.357290983,36.56,24.77731959,4.140625
run_39_repetition_0,optimized,bfs,10,9.380541801,36.57,24.84226804,4.046875
run_40_repetition_0,optimized,bfs,11,9.296785831,36.56,24.93854167,4.046875
run_41_repetition_0,optimized,bfs,12,9.346778154,36.55,24.88350515,4.0625
run_42_repetition_0,optimized,bfs,13,9.249258995,36.55,24.75729167,4.046875
run_43_repetition_0,optimized,bfs,14,9.321846962,36.56,24.66979167,4
run_44_repetition_0,optimized,bfs,15,9.402134895,36.55,24.80412371,4.078125
run_45_repetition_0,optimized,bfs,16,9.376097918,36.55,24.67319588,4.125
run_46_repetition_0,optimized,bfs,17,9.377806902,36.54,24.82680412,4.234375
run_47_repetition_0,optimized,bfs,18,9.489853859,36.54,24.83571429,4.015625
run_48_repetition_0,optimized,bfs,19,9.304280996,36.55,25.12083333,4.0625
run_49_repetition_0,optimized,bfs,20,9.194630861,36.57,24.98947368,4.015625
run_50_repetition_0,optimized,bfs,21,9.300082922,36.55,25.05,3.96875
run_51_repetition_0,optimized,bfs,22,9.300154924,36.54,25.02083333,4.0625
run_52_repetition_0,optimized,bfs,23,9.422868013,36.53,24.74329897,4.015625
run_53_repetition_0,optimized,bfs,24,9.308789015,36.54,25.03645833,4.015625
run_54_repetition_0,optimized,bfs,25,9.318170071,36.55,25.00104167,4.046875
run_55_repetition_0,optimized,bfs,26,9.326425076,36.54,24.61354167,3.984375
run_56_repetition_0,optimized,bfs,27,9.425195932,36.54,24.61237113,4.015625
run_57_repetition_0,optimized,bfs,28,9.318904638,36.56,24.74845361,4.015625
run_58_repetition_0,optimized,bfs,29,9.236359835,36.54,24.87052632,3.953125
run_59_repetition_0,optimized,bfs,30,9.42834878,36.53,24.59896907,4
run_60_repetition_0,baseline,equilibrium_index,1,5.968509912,28.62,24.61428571,4.078125
run_61_repetition_0,baseline,equilibrium_index,2,6.280417919,28.62,24.50151515,4.015625
run_62_repetition_0,baseline,equilibrium_index,3,5.332265139,26,24.3754386,4.125
run_63_repetition_0,baseline,equilibrium_index,4,6.270488977,28.63,24.54242424,3.9375
run_64_repetition_0,baseline,equilibrium_index,5,6.367531061,28.65,24.26119403,4.015625
run_65_repetition_0,baseline,equilibrium_index,6,6.212012053,28.63,24.93484848,4.015625
run_66_repetition_0,baseline,equilibrium_index,7,6.395574093,28.62,24.4880597,4.03125
run_67_repetition_0,baseline,equilibrium_index,8,5.416970968,25.98,24.5637931,4.140625
run_68_repetition_0,baseline,equilibrium_index,9,5.32744813,25.99,24.42982456,4.0625
run_69_repetition_0,baseline,equilibrium_index,10,5.547268867,25.98,24.23050847,4.078125
run_70_repetition_0,baseline,equilibrium_index,11,6.224363089,28.61,24.87121212,4.09375
run_71_repetition_0,baseline,equilibrium_index,12,5.411824942,25.98,24.63793103,4.046875
run_72_repetition_0,baseline,equilibrium_index,13,5.434359789,25.96,24.72068966,3.984375
run_73_repetition_0,baseline,equilibrium_index,14,6.276751041,28.61,24.57424242,3.953125
run_74_repetition_0,baseline,equilibrium_index,15,6.192315817,28.62,24.99545455,4.015625
run_75_repetition_0,baseline,equilibrium_index,16,5.983999014,28.63,24.54761905,4.125
run_76_repetition_0,baseline,equilibrium_index,17,6.191504717,28.63,24.86363636,4.125
run_77_repetition_0,baseline,equilibrium_index,18,6.360532999,28.63,24.18059701,4.0625
run_78_repetition_0,baseline,equilibrium_index,19,6.375535011,28.63,24.29558824,3.96875
run_79_repetition_0,baseline,equilibrium_index,20,6.278423071,28.63,24.31363636,4.078125
run_80_repetition_0,baseline,equilibrium_index,21,6.166804075,28.63,24.58153846,4.09375
run_81_repetition_0,baseline,equilibrium_index,22,6.32296586,28.63,24.5761194,4.03125
run_82_repetition_0,baseline,equilibrium_index,23,5.34039402,25.99,24.25087719,4.078125
run_83_repetition_0,baseline,equilibrium_index,24,6.259965897,28.64,25.01515152,4.078125
run_84_repetition_0,baseline,equilibrium_index,25,5.682715893,28.64,24.75737705,4.046875
run_85_repetition_0,baseline,equilibrium_index,26,6.168841124,28.6,25.09538462,4.203125
run_86_repetition_0,baseline,equilibrium_index,27,6.196003199,28.63,25.12878788,4.046875
run_87_repetition_0,baseline,equilibrium_index,28,5.238458157,25.99,24.62321429,4.046875
run_88_repetition_0,baseline,equilibrium_index,29,5.480677128,25.96,24.18644068,4.015625
run_89_repetition_0,baseline,equilibrium_index,30,6.303737164,28.61,24.62537313,4.0625
