function, rho_time ,p_time,rho_cpu,p_cpu,rho_mem,p_mem,p_time_adj,p_cpu_adj,p_mem_adj
bfs,-0.14011,0.46022,-0.15964,0.39941,0.22398,0.23410,0.51136,0.44379,0.70210
equilibrium_index,0.42071,0.02061,0.16982,0.36962,0.16059,0.39659,0.05153,0.44379,0.70210
floyd_warshall,0.42671,0.01869,-0.56637,0.00110,-0.16618,0.38014,0.05153,0.00368,0.70210
knapsack,0.24043,0.20062,-0.58743,0.00064,0.15245,0.42126,0.25077,0.00321,0.70210
max_subarray,0.27813,0.13670,-0.08751,0.64564,-0.02112,0.91179,0.19529,0.64564,0.91179
mergesort,0.38020,0.03822,-0.42895,0.01802,0.07013,0.71267,0.07643,0.03003,0.79185
prefix_sum,0.59139,0.00058,-0.46993,0.00879,-0.08501,0.65512,0.00578,0.02164,0.79185
product_sum,0.54317,0.00192,-0.65856,0.00008,0.62493,0.00022,0.00962,0.00076,0.00223
stock_span,0.11631,0.54050,-0.22749,0.22667,-0.09012,0.63580,0.54050,0.32381,0.79185
strassen,0.33519,0.07018,-0.45854,0.01082,0.19825,0.29364,0.11697,0.02164,0.70210
